,review_text,verified_purchase
384,morn receiv bottl vaselin alo sooth tryit sampl wait tri feel smell amaz lotion easi appli soak right love review collect part promot,False
385,suffer dri age alway look find best give reliev stop look final find vaselin intens care alo first come big bottl dont worri finish fast come smell nice clean fresh final import reliev sooth realli absorb fast dont need wait put cloth realli love review collect part promot,False
386,cream one best bodi cream tri expect much pleasantli surpris cream nice creami white textur greasi absorb quickli make feel love soft smooth cream also absolut gorgeou refresh smell alo vera could smell day love review collect part promot,False
387,decent everyday lotion clean light scent luxuri natur petrolatum alo fairli light textur job effect moistur good price especi still damp review collect part promot,False
388,love day cream make feel love help age,True
389,great arriv quickli nice scent,True
390,arriv time well packag great need much strong fragranc,True
391,realli good valu money perfect wash babi cloth,True
392,leak order suggest,True
393,love smell soft,True
394,excel awhil suitabl whole famili make obviou choic,False
395,start could find old simpl night cream impress seem caus breakout eye irrit make differ sot make wors,False
396,love sweet smell bodi lotion cream thick absorb quickli bottl state non greasi formula found correct appli lotion morn hour later still felt soft review collect part promot,False
397,bodi lotion never tri vaselin one wish pleasant fragranc leav soft nourish shower area dri tend bed realli notic differ previou lotion morn review collect part promot,False
398,got coupl day ago shower smell realli nice realli good leav soft smooth last day cold weather need someth like realli good keep moisturis fresh day review collect part promot,False
399,lightli fragranc lotion dispens easili bottl found spread well across absorb quit quickli realli seem work well dryer area knee elbow tri feet also revel quit thin absorb quickli meant need bed sock slip place night also moisturis feet realli well realli impress versatil lotion review collect part promot,False
400,month love dri twice week help keep control eldest daughter eczema small amount everi night elbow realli help smell love absorb quickli leav sticki residu like love lot review collect part promot,False
401,suffer bad dri winter start vaselin intens care alo sooth bodi lotion result amaz feel soft smooth happi continu daili review collect part promot,False
402,love cream heavi overli soak keep moisturis age realli soft fragranc overli perfum remind holiday suffer realli dri arm hand applic look felt significantli better review collect part promot,False
403,winter left dri especi hand wrist perfect solut moisturis clean fresh smell alo absorb realli quickli greasi feel small amount need make differ ml bottl last well spring ad daili routin review collect part promot,False
404,suffer dri sensit vaselin one moistur without react flare itch terribl first thing notic beauti fresh aroma soon clip open lid soon appli drop onto instantli felt sooth sensat feel greasi unlik mani moistur absorb quickli effect quickli felt moisturis hydrat help dri problem massiv everi day particularli shower bath also bed confid still feel freshli moisturis come morn fantast definatli recommend review collect part promot,False
405,love light none sticki moisturis goe well soak leav residu tend leav feel soft moist heavi good everyday review collect part promot,False
406,usual get big carton brainer last month one prefer ideal sensit fair bit wash,True
407,bargain howev think consist shop one smell nice seem last iron,True
408,great valu money fantast love smell easi wash tablet,True
409,like simpl brand sensit need realli care chemic simpl face moisturis moisturis fantast littl smell gel like consist without sticki gloopi market moisturis appli well sink quickli leav feel refresh moisturis heavi sticki reaction moisturis combin moisturis ideal greasi hour wear find feel total normal greasi sometim get creami moisturis also found could appli makeup easili within short period time moisturis sunk easili light wrinkl although moisturis perform miracl prevent dri day effect heat sun think one best moisturis job side effect,False
410,havent tri hamper im make christma im sure good comfort,True
411,remov stain keep wash great condit,True
412,beat price smell clean love,True
413,aw buy wipe thick like wet paper towel usual wipe face actual sore,True
414,smell beauti well worth money,True
415,easi throw drum messi liquid spill wash well non bio,True
416,anyth gentl realli sting eye leav around eye dri flaki aw that go end bin,False
417,given review think good booster love soft dri flaki patch disappear,False
418,first time vaselin intens alo bodi lotion brilliant leav soft suppl nice fresh scent linger good dri thoroughli moisturis leav greasi patch would definit buy would highli recommend review collect part promot,False
419,lotion got bath felt realli luxuri smelt delici love fact littl drop vaselin jelli bottl good size last age highli recommend review collect part promot,False
420,great well packag great price,True
421,excel valu bulk buy save money long run,True
422,ok,True
423,like deodor afford bulk buy obviou choic far month still half pack left,True
424,arriv ok good item thank,True
425,good qualiti condition water leav cloth soft smell nice bulk buy deliv door simpl bought funnel could decant small condition bottl easier full l bottl pour condition section washer,True
426,great,True
427,great thank came day later smell love,True
428,mosturi past caus breakout moisturis job hydrat dri breakout highli doubt ever switch anoth,False
429,like make soft smell fresh greasi absorb quickli make soft comfort first thought smell littl bit strong thought ok review collect part promot,False
430,one think everi household cabinet patchi sooth leav refresh non greasi even face also last forev review collect part promot,False
431,suffer realli dri winter month despit put layer layer usual moistur need one layer within lotion keep moistur whole day textur thick worri first let fool ingredi work treat keep moistur lock love smell review collect part promot,False
432,time year tend becom dri itchi within day vaselin intens care alo sooth feel much better realli light finish easili absorb without leav sticki feel also smell realli pleasant subtl non greasi definit deliv claim term calm heal dri would highli recommend review collect part promot,False
433,struggl find moisturis last day without get mid way day feel leg itchi dri alway will pay fair bit find right one tick box expens realli great cream feel need reappli great find moistur buy review collect part promot,False
434,tri lotion firstli get enough smell smell clean fresh quit light formula absorb easili lightweight moisturis well get dress straight away would great holiday light review collect part promot,False
435,prior receiv pretti rough elbow particular feel dri busi mum two admit sometim neglect may empathis trial gave perfect opportun reconnect bit u cme time u day bath shower smother must admit first time put sure smell offens like cucumb smell although alo tend smell perfum time howev day actual like smell applic went nice thick soak pretti quickli feel sticki alway morn wash even even bedtim feel notic softer rough elbow gone verdict thumb ye continu thank fab trial introduc vaselin alo review collect part promot,False
436,fast deliveri great,True
437,reliabl even cooler wahs an love fragranc,True
438,valu money nice smell daughter love recommend,True
439,girlfriend pleas still said ok,True
440,great,False
441,scrumptiou authent pot noodl flavour,True
442,offer half price pleas also like compact bottl size,False
443,love ice cream,False
444,love marmit feel like wast lot squeezi format,False
445,husband said sharp begin quit nice got assum scent grow thank ocado sampl,False
446,like chocol ice cream howev quit nice end eat half tub one go quit sweet though nice chunk chocol marshmallow caramel,False
447,rich full flavour well love famili expens great special treat,False
